time_window,avg_abs_power,avg_rel_power,sample_count,min_abs_power,max_abs_power,avg_abs_flow,total_flow_volume,start_time
"Row(start=Timestamp('2020-07-21 14:30:00'), end=Timestamp('2020-07-21 15:00:00'))",129398.47708082263,1437.7608564535851,60,0.0,333776.61035746563,0.0012102467978756639,3104188.8940977356,2020-07-21 14:30:00
"Row(start=Timestamp('2020-07-21 15:00:00'), end=Timestamp('2020-07-21 15:30:00'))",114550.3647216283,1272.7818302403139,60,0.0,338360.6478162113,0.0010850036782860191,3104315.2630859693,2020-07-21 15:00:00
"Row(start=Timestamp('2020-07-21 15:30:00'), end=Timestamp('2020-07-21 16:00:00'))",104323.41651498909,1159.1490723887675,59,0.0,325855.2425467023,0.0009733631285603237,3052702.413902467,2020-07-21 15:30:00
"Row(start=Timestamp('2020-07-21 16:00:00'), end=Timestamp('2020-07-21 16:30:00'))",109029.95244805141,1211.4439160894601,60,0.0,324613.5303848889,0.001021334058913042,3104570.0665136445,2020-07-21 16:00:00
"Row(start=Timestamp('2020-07-21 16:30:00'), end=Timestamp('2020-07-21 17:00:00'))",113393.93803831772,1259.9326448701968,60,0.0,319692.9532629007,0.0010713789037699916,3104698.0572241643,2020-07-21 16:30:00
"Row(start=Timestamp('2020-07-21 17:00:00'), end=Timestamp('2020-07-21 17:30:00'))",123904.52271780104,1376.7169190866782,59,0.0,279202.4700336135,0.0011534872662298501,3053074.9193001366,2020-07-21 17:00:00
"Row(start=Timestamp('2020-07-21 17:30:00'), end=Timestamp('2020-07-21 18:00:00'))",132948.5473090323,1477.2060812114696,60,0.0,299323.39903006423,0.001259767612943536,3104944.0123514626,2020-07-21 17:30:00
"Row(start=Timestamp('2020-07-21 18:00:00'), end=Timestamp('2020-07-21 18:30:00'))",138982.68977461825,1544.2521086068693,60,0.0,326509.2258413705,0.0012851830577138193,3105068.130226829,2020-07-21 18:00:00
"Row(start=Timestamp('2020-07-21 18:30:00'), end=Timestamp('2020-07-21 19:00:00'))",140542.07407577362,1561.5786008419288,59,0.0,328371.10194823815,0.0013104297471282981,3053439.448892173,2020-07-21 18:30:00
"Row(start=Timestamp('2020-07-21 19:00:00'), end=Timestamp('2020-07-21 19:30:00'))",135034.2050890337,1500.3800565448187,60,0.0,317970.0238984274,0.001267628059779706,3105317.70422252,2020-07-21 19:00:00
"Row(start=Timestamp('2020-07-21 19:30:00'), end=Timestamp('2020-07-21 20:00:00'))",125769.48155916527,1397.4386839907252,60,0.0,407837.99772209564,0.0011898096361016213,3105443.912523088,2020-07-21 19:30:00
"Row(start=Timestamp('2020-07-21 20:00:00'), end=Timestamp('2020-07-21 20:30:00'))",114281.51335183495,1269.794592798166,59,0.0,336864.4980881498,0.0010961992638645424,3053811.3369206027,2020-07-21 20:00:00
"Row(start=Timestamp('2020-07-21 20:30:00'), end=Timestamp('2020-07-21 21:00:00'))",102579.33784388282,1139.7704204875872,60,0.0,313657.0686971318,0.0009720752587397085,3105700.0870159958,2020-07-21 20:30:00
"Row(start=Timestamp('2020-07-21 21:00:00'), end=Timestamp('2020-07-21 21:30:00'))",105851.87215371293,1176.1319128190326,60,0.0,309198.88775966247,0.000990416301357439,3105823.860905209,2020-07-21 21:00:00
"Row(start=Timestamp('2020-07-21 21:30:00'), end=Timestamp('2020-07-21 22:00:00'))",107293.87057550235,1192.154117505582,59,0.0,289765.95635703567,0.000998143520281131,3054180.1712688203,2020-07-21 21:30:00
"Row(start=Timestamp('2020-07-21 22:00:00'), end=Timestamp('2020-07-21 22:30:00'))",126579.95935024321,1406.4439927804804,60,0.0,272131.4232460838,0.0011712065785893526,3106066.845380589,2020-07-21 22:00:00
"Row(start=Timestamp('2020-07-21 22:30:00'), end=Timestamp('2020-07-21 23:00:00'))",132141.69108427063,1468.241012047451,60,0.0,272012.36835349014,0.0012175832149227564,3106189.4675474176,2020-07-21 22:30:00
"Row(start=Timestamp('2020-07-21 23:00:00'), end=Timestamp('2020-07-21 23:30:00'))",140939.99650084207,1409.3999650084204,59,0.0,331636.29782159504,0.0013043012631543346,3054539.6603422845,2020-07-21 23:00:00
"Row(start=Timestamp('2020-07-21 23:30:00'), end=Timestamp('2020-07-22 00:00:00'))",138839.31424073776,1388.3931424073778,60,0.0,316251.34203688166,0.0012812528342957344,3106435.494433834,2020-07-21 23:30:00
"Row(start=Timestamp('2020-07-22 00:00:00'), end=Timestamp('2020-07-22 00:30:00'))",135916.053578217,1359.16053578217,59,0.0,306546.43635008705,0.0012526088331130804,3054782.6335776225,2020-07-22 00:00:00
"Row(start=Timestamp('2020-07-22 00:30:00'), end=Timestamp('2020-07-22 01:00:00'))",126509.97976934742,1265.099797693474,60,0.0,272174.0618174953,0.001163346131753182,3106683.451466649,2020-07-22 00:30:00
"Row(start=Timestamp('2020-07-22 01:00:00'), end=Timestamp('2020-07-22 01:30:00'))",117912.7271700218,1179.127271700218,60,0.0,273951.29405025614,0.0010792393506061616,3106809.5258906623,2020-07-22 01:00:00
"Row(start=Timestamp('2020-07-22 01:30:00'), end=Timestamp('2020-07-22 02:00:00'))",108019.28468618258,1080.192846861826,59,0.0,315645.3295273032,0.0009877517431078895,3055152.687410281,2020-07-22 01:30:00
"Row(start=Timestamp('2020-07-22 02:00:00'), end=Timestamp('2020-07-22 02:30:00'))",108596.4777506019,1085.964777506019,60,0.0,316899.4705731644,0.0009914643609355946,3107063.027918749,2020-07-22 02:00:00
"Row(start=Timestamp('2020-07-22 02:30:00'), end=Timestamp('2020-07-22 03:00:00'))",119997.61354011044,1199.976135401104,60,0.0,334321.0514560468,0.00109548427406758,3107191.977614207,2020-07-22 02:30:00
"Row(start=Timestamp('2020-07-22 03:00:00'), end=Timestamp('2020-07-22 03:30:00'))",129741.21136140307,1297.4121136140307,59,0.0,268915.4582352579,0.0011846625977495753,3055526.249667018,2020-07-22 03:00:00
"Row(start=Timestamp('2020-07-22 03:30:00'), end=Timestamp('2020-07-22 04:00:00'))",139898.60798742494,1398.9860798742495,60,0.0,291209.85045209393,0.0012770605959831099,3107439.2347437292,2020-07-22 03:30:00
"Row(start=Timestamp('2020-07-22 04:00:00'), end=Timestamp('2020-07-22 04:30:00'))",141925.86522035554,1419.2586522035554,60,0.0,292845.9438640756,0.0012954016386008405,3107566.2855632864,2020-07-22 04:00:00
"Row(start=Timestamp('2020-07-22 04:30:00'), end=Timestamp('2020-07-22 05:00:00'))",143845.49262817766,1438.4549262817768,59,0.0,318716.70824815246,0.001313094305377847,3055895.355711635,2020-07-22 04:30:00
"Row(start=Timestamp('2020-07-22 05:00:00'), end=Timestamp('2020-07-22 05:30:00'))",136141.24771685468,1361.412477168547,60,0.0,323917.6136426763,0.0012429986596930397,3107816.386329163,2020-07-22 05:00:00
"Row(start=Timestamp('2020-07-22 05:30:00'), end=Timestamp('2020-07-22 06:00:00'))",127413.11724371671,1274.131172437167,60,0.0,329053.22232245834,0.0011630841168586428,3107939.308461155,2020-07-22 05:30:00
"Row(start=Timestamp('2020-07-22 06:00:00'), end=Timestamp('2020-07-22 06:30:00'))",115369.75045273424,1153.6975045273425,59,0.0,303120.5583444854,0.0010548986109965295,3056261.8626343147,2020-07-22 06:00:00
"Row(start=Timestamp('2020-07-22 06:30:00'), end=Timestamp('2020-07-22 07:00:00'))",103249.69053921702,1032.49690539217,60,0.0,307828.91577304463,0.0009443016799185742,3108185.2289611963,2020-07-22 06:30:00
"Row(start=Timestamp('2020-07-22 07:00:00'), end=Timestamp('2020-07-22 07:30:00'))",111750.74435365517,1117.5074435365516,60,0.0,308379.1495856349,0.0010221201035966584,3108310.6621096153,2020-07-22 07:00:00
"Row(start=Timestamp('2020-07-22 07:30:00'), end=Timestamp('2020-07-22 08:00:00'))",115327.28441270081,1153.272844127008,59,0.0,311547.0541051175,0.0010580960808959882,3056629.640187408,2020-07-22 07:30:00
"Row(start=Timestamp('2020-07-22 08:00:00'), end=Timestamp('2020-07-22 08:30:00'))",132138.75222142594,1321.3875222142597,60,0.0,318589.2708538666,0.00120867470850843,3108563.0921821715,2020-07-22 08:00:00
"Row(start=Timestamp('2020-07-22 08:30:00'), end=Timestamp('2020-07-22 09:00:00'))",133606.53248992687,1336.065324899269,60,0.0,267554.465295229,0.001231470004333323,3108687.814497931,2020-07-22 08:30:00
"Row(start=Timestamp('2020-07-22 09:00:00'), end=Timestamp('2020-07-22 09:30:00'))",144800.96036132684,1448.0096036132688,59,0.0,313454.4462240398,0.0013280158315753224,3056998.946008015,2020-07-22 09:00:00
"Row(start=Timestamp('2020-07-22 09:30:00'), end=Timestamp('2020-07-22 10:00:00'))",135681.8704789908,1356.8187047899078,60,0.0,307901.1283823923,0.0012608156725216926,3108937.1035184185,2020-07-22 09:30:00
"Row(start=Timestamp('2020-07-22 10:00:00'), end=Timestamp('2020-07-22 10:30:00'))",136072.01180972744,1360.7201180972743,60,0.0,271175.6752981025,0.0012563614193145287,3109060.868167391,2020-07-22 10:00:00
"Row(start=Timestamp('2020-07-22 10:30:00'), end=Timestamp('2020-07-22 11:00:00'))",129010.06732577606,1290.1006732577607,59,0.0,330313.2872359144,0.0012011828588967806,3057366.795503141,2020-07-22 10:30:00
"Row(start=Timestamp('2020-07-22 11:00:00'), end=Timestamp('2020-07-22 11:30:00'))",118032.25869707708,1180.3225869707708,60,0.0,317832.92276337935,0.0010876238272314088,3109313.508652186,2020-07-22 11:00:00
"Row(start=Timestamp('2020-07-22 11:30:00'), end=Timestamp('2020-07-22 12:00:00'))",100137.24731089106,1001.372473108911,60,0.0,284790.4496551898,0.0009293668309298508,3109437.6643434837,2020-07-22 11:30:00
"Row(start=Timestamp('2020-07-22 12:00:00'), end=Timestamp('2020-07-22 12:30:00'))",104509.59670480806,1045.0959670480806,59,0.0,285840.71226153447,0.000979758068359242,3057733.3251541434,2020-07-22 12:00:00
"Row(start=Timestamp('2020-07-22 12:30:00'), end=Timestamp('2020-07-22 13:00:00'))",111754.18818001564,1117.5418818001565,60,0.0,265878.0504225966,0.0010443913696324735,3109682.6211660397,2020-07-22 12:30:00
"Row(start=Timestamp('2020-07-22 13:00:00'), end=Timestamp('2020-07-22 13:30:00'))",121349.55234527518,1213.495523452752,60,0.0,314380.5513889415,0.0011452671040299905,3109808.5182185085,2020-07-22 13:00:00
"Row(start=Timestamp('2020-07-22 13:30:00'), end=Timestamp('2020-07-22 14:00:00'))",139411.60764178514,1394.1160764178517,59,0.0,344503.4811835098,0.0013160253194523513,3058101.883152696,2020-07-22 13:30:00
"Row(start=Timestamp('2020-07-22 14:00:00'), end=Timestamp('2020-07-22 14:30:00'))",144667.29948584826,1446.6729948584828,60,0.0,398748.82888223213,0.0012943535790226847,3110059.316409842,2020-07-22 14:00:00
"Row(start=Timestamp('2020-07-22 14:30:00'), end=Timestamp('2020-07-22 15:00:00'))",136676.7094464283,1366.7670944642828,60,0.0,324842.116812981,0.001289899325815521,3110186.2685674075,2020-07-22 14:30:00
"Row(start=Timestamp('2020-07-22 15:00:00'), end=Timestamp('2020-07-22 15:30:00'))",151410.7393741404,1514.107393741404,59,0.0,385741.4872606811,0.0012899126486067686,3058471.6771377004,2020-07-22 15:00:00
"Row(start=Timestamp('2020-07-22 15:30:00'), end=Timestamp('2020-07-22 16:00:00'))",134778.0593083043,1347.7805930830432,60,0.0,369366.09224131063,0.0011279741209904166,3110433.083415777,2020-07-22 15:30:00
"Row(start=Timestamp('2020-07-22 16:00:00'), end=Timestamp('2020-07-22 16:30:00'))",123144.8427890311,1231.448427890311,60,0.0,346375.61623672367,0.0010564440547812678,3110556.6755525996,2020-07-22 16:00:00
"Row(start=Timestamp('2020-07-22 16:30:00'), end=Timestamp('2020-07-22 17:00:00'))",106521.78429326355,1065.2178429326357,59,0.0,324016.8731293311,0.0009624384397371724,3058835.6414689557,2020-07-22 16:30:00
"Row(start=Timestamp('2020-07-22 17:00:00'), end=Timestamp('2020-07-22 17:30:00'))",109500.39007696732,1095.0039007696732,60,0.0,354881.80992882047,0.0009741713778960204,3110803.7193855243,2020-07-22 17:00:00
"Row(start=Timestamp('2020-07-22 17:30:00'), end=Timestamp('2020-07-22 18:00:00'))",126949.8945556148,1269.4989455561476,60,0.0,330848.5899132445,0.0010771432314498487,3110928.891196773,2020-07-22 17:30:00
"Row(start=Timestamp('2020-07-22 18:00:00'), end=Timestamp('2020-07-22 18:30:00'))",138095.5362812101,1380.9553628121005,59,0.0,347390.309973901,0.0011782676579506577,3059205.3784762355,2020-07-22 18:00:00
"Row(start=Timestamp('2020-07-22 18:30:00'), end=Timestamp('2020-07-22 19:00:00'))",147916.28687947895,1479.1628687947893,60,0.0,384749.99981780164,0.0012969737279680742,3111182.331137765,2020-07-22 18:30:00
"Row(start=Timestamp('2020-07-22 19:00:00'), end=Timestamp('2020-07-22 19:30:00'))",140778.7885887641,1407.7878858876406,60,0.0,375958.1703179283,0.001206578589352118,3111303.240480396,2020-07-22 19:00:00
"Row(start=Timestamp('2020-07-22 19:30:00'), end=Timestamp('2020-07-22 20:00:00'))",151210.7786146751,1512.1077861467504,59,0.0,403620.05912839284,0.0013144265845026213,3059567.807438031,2020-07-22 19:30:00
"Row(start=Timestamp('2020-07-22 20:00:00'), end=Timestamp('2020-07-22 20:30:00'))",140290.1429470321,1402.9014294703215,60,0.0,311789.4261221212,0.0011926917999415508,3111546.3445008895,2020-07-22 20:00:00
"Row(start=Timestamp('2020-07-22 20:30:00'), end=Timestamp('2020-07-22 21:00:00'))",126770.7026991082,1267.7070269910823,60,0.0,274168.52559246693,0.0011819491892654515,3111668.151100617,2020-07-22 20:30:00
"Row(start=Timestamp('2020-07-22 21:00:00'), end=Timestamp('2020-07-22 21:30:00'))",117776.13487113999,1177.7613487114,59,0.0,327651.3358802307,0.0010908701473654437,3059930.8524230504,2020-07-22 21:00:00
"Row(start=Timestamp('2020-07-22 21:30:00'), end=Timestamp('2020-07-22 22:00:00'))",103462.95298004612,1034.6295298004616,60,0.0,320832.04450037173,0.0009594985438018367,3111920.2582684034,2020-07-22 21:30:00
"Row(start=Timestamp('2020-07-22 22:00:00'), end=Timestamp('2020-07-22 22:30:00'))",110006.63301602085,1100.0663301602085,60,0.0,318263.0533190511,0.0010231681631748142,3112045.3299486055,2020-07-22 22:00:00
"Row(start=Timestamp('2020-07-22 22:30:00'), end=Timestamp('2020-07-22 23:00:00'))",112194.47553934145,1123.5442020267203,59,0.0,301694.91210026597,0.0010461055687730168,3060302.1739995675,2020-07-22 22:30:00
"Row(start=Timestamp('2020-07-22 23:00:00'), end=Timestamp('2020-07-22 23:30:00'))",109773.48461134736,1219.7053845705263,60,0.0,326244.21239877486,0.0010179278652840344,3112280.9528830415,2020-07-22 23:00:00
"Row(start=Timestamp('2020-07-22 23:30:00'), end=Timestamp('2020-07-23 00:00:00'))",136790.39627743795,1519.8932919715326,60,0.0,295189.29221753334,0.0012736544023541024,3112405.0637448407,2020-07-22 23:30:00
"Row(start=Timestamp('2020-07-23 00:00:00'), end=Timestamp('2020-07-23 00:30:00'))",143155.0580889426,1590.6117565438067,59,0.0,277369.47012521356,0.0013130943053778468,3060654.164069338,2020-07-23 00:00:00
"Row(start=Timestamp('2020-07-23 00:30:00'), end=Timestamp('2020-07-23 01:00:00'))",138675.189351487,1540.8354372387444,60,0.0,296055.5446790159,0.001270510223619635,3112654.7997084395,2020-07-23 00:30:00
"Row(start=Timestamp('2020-07-23 01:00:00'), end=Timestamp('2020-07-23 01:30:00'))",136519.68433937684,1516.8853815486311,60,0.0,323402.60313237185,0.0012547893299472946,3112777.1441141726,2020-07-23 01:00:00
"Row(start=Timestamp('2020-07-23 01:30:00'), end=Timestamp('2020-07-23 02:00:00'))",122912.77186634227,1365.6974651815808,59,0.0,291688.1362920285,0.0011324372560584115,3061018.0566909686,2020-07-23 01:30:00
"Row(start=Timestamp('2020-07-23 02:00:00'), end=Timestamp('2020-07-23 02:30:00'))",121246.42676457376,1347.1825196063753,60,0.0,296418.79501882126,0.0011109431528453812,3113023.530959345,2020-07-23 02:00:00
"Row(start=Timestamp('2020-07-23 02:30:00'), end=Timestamp('2020-07-23 03:00:00'))",108376.84287169411,1204.187143018823,60,0.0,297007.56697582203,0.0009906783162519784,3113151.0150743066,2020-07-23 02:30:00
"Row(start=Timestamp('2020-07-23 03:00:00'), end=Timestamp('2020-07-23 03:30:00'))",104021.13718402096,1155.7904131557884,59,0.0,293058.67562907125,0.0009515137509140198,3061389.3694619616,2020-07-23 03:00:00
"Row(start=Timestamp('2020-07-23 03:30:00'), end=Timestamp('2020-07-23 04:00:00'))",121702.89255432524,1352.254361714725,60,0.0,323949.29930705583,0.0011117291975289983,3113403.4958743462,2020-07-23 03:30:00
"Row(start=Timestamp('2020-07-23 04:00:00'), end=Timestamp('2020-07-23 04:30:00'))",128621.27926523474,1429.125325169275,60,0.0,318653.75729513075,0.001176446876480132,3113529.7962782662,2020-07-23 04:00:00
"Row(start=Timestamp('2020-07-23 04:30:00'), end=Timestamp('2020-07-23 05:00:00'))",139535.24739752003,1550.391637750223,59,0.0,287906.0189256215,0.0012755240340592037,3061761.842340698,2020-07-23 04:30:00
"Row(start=Timestamp('2020-07-23 05:00:00'), end=Timestamp('2020-07-23 05:30:00'))",143350.89552845393,1592.787728093932,60,0.0,289114.0088380926,0.0013126946216404148,3113779.8523278893,2020-07-23 05:00:00
"Row(start=Timestamp('2020-07-23 05:30:00'), end=Timestamp('2020-07-23 06:00:00'))",137767.8302592991,1530.7536695477677,60,0.0,336044.3558449955,0.001258195523576302,3113905.064323569,2020-07-23 05:30:00
"Row(start=Timestamp('2020-07-23 06:00:00'), end=Timestamp('2020-07-23 06:30:00'))",137251.11329823837,1525.0123699804267,59,0.0,318779.42267465027,0.0012558063030125393,3062126.837161455,2020-07-23 06:00:00
"Row(start=Timestamp('2020-07-23 06:30:00'), end=Timestamp('2020-07-23 07:00:00'))",131151.1854473933,1457.2353938599251,60,0.0,334354.12016443285,0.0011974080680432525,3114153.320339505,2020-07-23 06:30:00
"Row(start=Timestamp('2020-07-23 07:00:00'), end=Timestamp('2020-07-23 07:30:00'))",117062.00216924764,1300.6889129916403,60,0.0,334287.61080476845,0.0010687587548246014,3114278.056705691,2020-07-23 07:00:00
"Row(start=Timestamp('2020-07-23 07:30:00'), end=Timestamp('2020-07-23 08:00:00'))",108220.57927444669,1202.4508808271848,59,0.0,292816.6405022283,0.0009880181989328446,3062496.2639896264,2020-07-23 07:30:00
"Row(start=Timestamp('2020-07-23 08:00:00'), end=Timestamp('2020-07-23 08:30:00'))",111656.31096903751,1240.62567743375,60,0.0,268835.3849620688,0.0010194999546512683,3114530.51623327,2020-07-23 08:00:00
"Row(start=Timestamp('2020-07-23 08:30:00'), end=Timestamp('2020-07-23 09:00:00'))",111018.84727597698,1233.5427475108547,60,0.0,282341.3240348724,0.0010176658503894952,3114654.262215326,2020-07-23 08:30:00
"Row(start=Timestamp('2020-07-23 09:00:00'), end=Timestamp('2020-07-23 09:30:00'))",125438.0106726499,1393.7556741405535,59,0.0,301678.66832230124,0.0011606815735036328,3062866.403263683,2020-07-23 09:00:00
"Row(start=Timestamp('2020-07-23 09:30:00'), end=Timestamp('2020-07-23 10:00:00'))",132281.8982067941,1469.798868964379,60,0.0,319035.3169905635,0.001232256049016941,3114899.551275144,2020-07-23 09:30:00
"Row(start=Timestamp('2020-07-23 10:00:00'), end=Timestamp('2020-07-23 10:30:00'))",138221.60981020762,1535.7956645578627,60,0.0,309429.24732106866,0.0013095504429059465,3115024.3906085677,2020-07-23 10:00:00
"Row(start=Timestamp('2020-07-23 10:30:00'), end=Timestamp('2020-07-23 11:00:00'))",149880.60093583917,1665.3400103982121,59,0.0,324539.9617916142,0.00130243607237965,3063230.494248842,2020-07-23 10:30:00
"Row(start=Timestamp('2020-07-23 11:00:00'), end=Timestamp('2020-07-23 11:30:00'))",143815.50880594092,1597.9500978437886,60,0.0,362521.2971859932,0.0012568854491036066,3115273.2114797304,2020-07-23 11:00:00
"Row(start=Timestamp('2020-07-23 11:30:00'), end=Timestamp('2020-07-23 12:00:00'))",137759.96031927204,1530.666225769689,59,0.0,340306.2223812042,0.0012169037525691204,3063474.5435044123,2020-07-23 11:30:00
"Row(start=Timestamp('2020-07-23 12:00:00'), end=Timestamp('2020-07-23 12:30:00'))",121994.53427099196,1355.494825233244,60,0.0,313892.8128958361,0.0010548719654140334,3115526.9843778317,2020-07-23 12:00:00
"Row(start=Timestamp('2020-07-23 12:30:00'), end=Timestamp('2020-07-23 13:00:00'))",115153.80404644481,1279.4867116271644,60,0.0,326147.97039645194,0.0010236921929638926,3115652.6109500816,2020-07-23 12:30:00
"Row(start=Timestamp('2020-07-23 13:00:00'), end=Timestamp('2020-07-23 13:30:00'))",104542.72407024412,1161.585823002713,59,0.0,325629.54429511924,0.0009293979174427618,3063848.758042057,2020-07-23 13:00:00
"Row(start=Timestamp('2020-07-23 13:30:00'), end=Timestamp('2020-07-23 14:00:00'))",122368.82182806992,1359.6535758674436,60,0.0,329285.94898699434,0.0010996765123802035,3115903.959262006,2020-07-23 13:30:00
"Row(start=Timestamp('2020-07-23 14:00:00'), end=Timestamp('2020-07-23 14:30:00'))",129771.07283833221,1441.9008093148018,60,0.0,287695.9623045409,0.0011617740423859482,3116027.9594330876,2020-07-23 14:00:00
"Row(start=Timestamp('2020-07-23 14:30:00'), end=Timestamp('2020-07-23 15:00:00'))",139991.322589906,1555.4591398878442,59,0.0,331523.4511638862,0.0012534082005879448,3064216.463221515,2020-07-23 14:30:00
"Row(start=Timestamp('2020-07-23 15:00:00'), end=Timestamp('2020-07-23 15:30:00'))",144786.26061874113,1608.736229097123,60,0.0,337016.03758728656,0.0012891132811319046,3116275.2661948204,2020-07-23 15:00:00
"Row(start=Timestamp('2020-07-23 15:30:00'), end=Timestamp('2020-07-23 16:00:00'))",139176.9288109127,1546.4103201212522,60,0.0,294039.6406517088,0.0012388064213804157,3116398.561213513,2020-07-23 15:30:00
"Row(start=Timestamp('2020-07-23 16:00:00'), end=Timestamp('2020-07-23 16:30:00'))",136696.70189402226,1518.8522432669147,59,0.0,281370.04642819223,0.0012358221161409202,3064575.7151272953,2020-07-23 16:00:00
"Row(start=Timestamp('2020-07-23 16:30:00'), end=Timestamp('2020-07-23 17:00:00'))",134046.51308061945,1489.4057008957716,60,0.0,302943.86986378866,0.001198718142515948,3116641.1294914098,2020-07-23 16:30:00
"Row(start=Timestamp('2020-07-23 17:00:00'), end=Timestamp('2020-07-23 17:30:00'))",118501.40327499874,1316.6822586110975,60,0.0,346827.1142444491,0.0010705928590863745,3116767.70305161,2020-07-23 17:00:00
"Row(start=Timestamp('2020-07-23 17:30:00'), end=Timestamp('2020-07-23 18:00:00'))",110580.66514072528,1228.67405711917,59,0.0,344878.7977566046,0.001000808078530681,3064946.623382907,2020-07-23 17:30:00
"Row(start=Timestamp('2020-07-23 18:00:00'), end=Timestamp('2020-07-23 18:30:00'))",115842.28275657386,1287.1364750730434,60,0.0,347928.45040352136,0.0010331247291672967,3117024.9916896718,2020-07-23 18:00:00
"Row(start=Timestamp('2020-07-23 18:30:00'), end=Timestamp('2020-07-23 19:00:00'))",116697.21021286042,1296.6356690317823,60,0.0,310581.792277015,0.0010480595781560199,3117149.3550077993,2020-07-23 18:30:00
"Row(start=Timestamp('2020-07-23 19:00:00'), end=Timestamp('2020-07-23 19:30:00'))",133484.4788317839,1483.16087590871,59,0.0,339466.1733758294,0.0011859948768743504,3065319.9762217486,2020-07-23 19:00:00
"Row(start=Timestamp('2020-07-23 19:30:00'), end=Timestamp('2020-07-23 20:00:00'))",146783.00338374087,1630.9222598193435,60,0.0,328291.8463701634,0.0012610776874162305,3117398.7481834204,2020-07-23 19:30:00
"Row(start=Timestamp('2020-07-23 20:00:00'), end=Timestamp('2020-07-23 20:30:00'))",142391.44031158078,1582.1271145731196,60,0.0,295990.4810813626,0.0012760125364049547,3117524.1578404303,2020-07-23 20:00:00
"Row(start=Timestamp('2020-07-23 20:30:00'), end=Timestamp('2020-07-23 21:00:00'))",153698.93142308103,1707.7659047008995,59,0.0,387813.54596237966,0.0013104297471282977,3065686.202337652,2020-07-23 20:30:00
"Row(start=Timestamp('2020-07-23 21:00:00'), end=Timestamp('2020-07-23 21:30:00'))",144162.45862050503,1601.8050957833884,60,0.0,403353.26163768437,0.0012364482873295642,3117771.0060227592,2020-07-23 21:00:00
"Row(start=Timestamp('2020-07-23 21:30:00'), end=Timestamp('2020-07-23 22:00:00'))",144763.97813130697,1608.4886459034105,60,0.0,392816.8825439441,0.0012225614979189973,3117898.355742474,2020-07-23 21:30:00
"Row(start=Timestamp('2020-07-23 22:00:00'), end=Timestamp('2020-07-23 22:30:00'))",116379.77476169232,1293.1086084632484,59,0.0,360973.75257754006,0.00108474166339148,3066059.065674043,2020-07-23 22:00:00
"Row(start=Timestamp('2020-07-23 22:30:00'), end=Timestamp('2020-07-23 23:00:00'))",102217.27012159536,1124.8461431215376,60,0.0,314822.6811486674,0.000973123318317864,3118152.810307909,2020-07-23 22:30:00
